_RAJ2000,_DEJ2000,Per,plx,Vmag,Imag
deg,deg,d,mas,mag,mag
-----------,-----------,------,------,------,------
091.6456086,+26.3292228,11.302, 0.311, 9.735,
105.2492503,-08.7089917, 8.014, 0.383,10.100, 8.708
100.7812989,+20.9391108, 3.788, 0.370,      ,
117.0160469,-25.5777844,13.596, 0.254, 9.898, 8.716
144.2144433,-53.0327967, 7.134, 0.369,10.257, 8.730
190.3584572,-59.7941783, 3.837, 0.758, 8.228, 7.346
119.4403022,-40.1233561, 5.084, 0.924, 7.385, 6.463
273.2603992,-23.1172781, 5.058, 1.217, 6.967, 6.053
155.3457300,-61.0740936, 9.769, 0.361, 8.892, 7.895
119.5920364,-29.1300942,30.149, 0.294, 8.690, 7.153
064.9452431,+48.9532717, 4.973, 0.650,      ,
123.0933461,-36.9437592, 6.665, 0.604, 7.985, 7.080
271.2032758,-22.7323997,15.415, 0.404,11.331, 8.851
071.9429789,+36.7227872, 6.464, 1.093, 7.473,
223.1469114,-63.8098214,      ,      , 5.887, 4.987
024.7499467,+64.9892403, 2.872, 0.414,11.543,
171.2739797,-60.7346211, 5.310, 0.574, 8.818, 7.701
275.8297911,-18.5747744, 6.570, 0.546,10.559, 8.729
281.4754300,+12.3361417, 7.508, 0.280,10.093, 8.941
282.7494708,-20.2952306, 6.637, 1.188, 6.952, 5.848
